Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,543.3,563.3,605.1,638.6,685.8,743.7,815,861.7,942.5,1019.9,1073.303,1164.85,1279.11,1425.376,1545.243,1684.904,1873.412,2081.826,2351.599,2627.333,2857.307,3207.041,3343.789,3634.038,4037.613,4338.979,4579.631,4855.215,5236.438,5641.58,5963.144,6158.129,6520.327,6858.559,7287.236,7639.749,8073.122,8577.554457,9062.818202,9631.174489,10250.948,10581.92977,10929.11296,11456.44204,12217.1932,13039.19919,13815.58695,14474.22691,14769.85791,14478.06493,15048.96444,15599.72812,16253.97223,16843.19099,17550.68017,18206.02074,18695.11084,19479.62006,20527.15603,21372.57244,20893.74383,22996.1
United Kingdom,73.23396769,77.7419657,81.24756416,86.56196181,94.40755835,101.8247551,108.5727521,113.1168882,107.7599101,116.4647028,130.6719462,148.1138963,169.965035,192.5379716,206.1313698,241.7566372,232.6145553,263.0664574,335.8830297,438.9940703,564.9477109,540.7656752,515.0489168,489.6180082,461.4870976,489.2851643,601.4526532,745.1626083,910.1227321,926.8848168,1093.169389,1142.797178,1179.65953,1061.388722,1140.489746,1346.422597,1421.514821,1559.569417,1653.391852,1685.762822,1662.127402,1643.908162,1784.076739,2057.093878,2421.814354,2544.829091,2717.059798,3106.182473,2938.882353,2425.798411,2491.110093,2674.891474,2719.158341,2803.291406,3087.165603,2956.573779,2722.851958,2699.016715,2900.791443,2878.673912,2756.900214,3186.859739
France,62.225478,67.46164422,75.60752981,84.75919511,94.00785105,101.5372481,110.0458522,118.9729775,129.7854415,141.9030687,148.45636,165.9666154,203.4941482,264.4298763,285.5523732,360.832186,372.3190385,410.2794865,506.7078488,613.9531298,701.2884197,615.5522028,584.8777323,559.8691798,530.6837799,553.1384144,771.4707832,934.1733057,1018.847043,1025.211803,1269.179617,1269.276828,1401.465923,1322.815613,1393.98275,1601.094756,1605.675087,1452.884918,1503.108739,1493.151738,1365.639661,1377.657339,1501.409383,1844.544792,2119.633182,2196.945232,2320.536221,2660.591246,2930.303781,2700.887367,2645.187882,2865.157542,2683.671717,2811.876903,2855.964489,2439.188643,2472.964345,2595.151045,2790.956879,2728.870247,2630.317731,2937.472758
China,59.71646763,50.05686896,47.20935901,50.7067999,59.70834349,70.43626615,76.72028597,72.88163133,70.84653506,79.70590625,92.60297343,99.80095865,113.6875863,138.5442847,144.1821334,163.4315518,153.9404553,174.9380988,149.5407528,178.2805944,191.1492116,195.8663824,205.0896999,230.6867472,259.946511,309.4880281,300.7581001,272.9729748,312.3536312,347.7680513,360.8579126,383.3733181,426.9157127,444.7312824,564.32467,734.5478982,863.7467175,961.603953,1029.043098,1093.997267,1211.34687,1339.395719,1470.550015,1660.287966,1955.347005,2285.965892,2752.131773,3550.342737,4594.307033,5101.703073,6087.163875,7551.500124,8532.229987,9570.406236,10475.68292,11061.55308,11233.27654,12310.40937,13894.81755,14279.9375,14687.67389,17734.06265
Japan,44.30734295,53.50861774,60.72301868,69.4981318,81.74900638,90.95027826,105.6280703,123.7818802,146.6010727,172.2041995,212.6091879,240.1518075,318.0312975,432.0826705,479.6259986,521.5419057,586.161859,721.4117865,1013.612174,1055.01212,1105.385974,1218.988935,1134.518002,1243.323592,1318.381627,1398.892745,2078.953334,2532.808573,3071.683013,3054.914166,3132.817653,3584.420077,3908.809463,4454.143877,4998.797548,5545.563664,4923.391534,4492.448606,4098.36271,4635.982224,4968.359076,4374.711694,4182.846046,4519.561645,4893.116006,4831.467035,4601.663123,4579.75092,5106.679115,5289.493118,5759.071769,6233.147172,6272.362996,5212.328181,4896.994405,4444.930652,5003.677628,4930.837369,5037.835383,5123.318152,5040.107754,4937.42188
Canada,40.46172169,40.93495206,42.22744763,45.02998856,49.3775229,54.51517958,61.08838404,65.6686555,71.82981052,79.14841166,87.89609532,99.27196177,113.0828205,131.3218588,160.4086973,173.8340297,206.5755649,211.612157,218.6328675,243.0721026,273.8538265,306.2148636,313.5065251,340.5477118,355.3725581,364.7564995,377.4379273,431.3167421,507.3543512,565.0557432,593.9295509,610.3281836,592.3876893,577.170762,578.1392794,604.0316234,628.546388,654.9869999,634,678.4121963,744.7734159,738.9817924,760.6493341,895.5406466,1026.690238,1173.108599,1319.26481,1468.820408,1552.989691,1374.625142,1617.343367,1793.32663,1828.366482,1846.597422,1805.749878,1556.508816,1527.994742,1649.265644,1725.329193,1742.015045,1645.423408,1990.76161
Italy,40.38528834,44.84276029,50.3838919,57.71074306,63.17541702,67.97815385,73.65487001,81.13312007,87.94223168,97.08508281,113.395316,124.6723658,145.2600398,175.4920558,199.5644894,227.6958511,224.7172784,257.5963134,315.0583231,393.6771615,477.2567759,430.7028513,427.2726457,443.0423738,437.887689,452.2174921,640.3863528,805.7131282,891.6089572,928.6613322,1181.222654,1246.220156,1320.161645,1064.958076,1099.216688,1174.662071,1312.426528,1241.879604,1270.052526,1252.44666,1146.676894,1168.023426,1276.769338,1577.621707,1806.542969,1858.217147,1949.551719,2213.102483,2408.655349,2199.928804,2136.099955,2294.994297,2086.957657,2141.924094,2162.009616,1836.637711,1877.071688,1961.796197,2091.932426,2011.285743,1892.574064,2099.880198
India,37.02988388,39.23243578,42.16148186,48.42192346,56.48028994,59.55485458,45.86546203,50.1349422,53.08545587,58.44799502,62.42248305,67.35098802,71.46319383,85.51526959,99.52589912,98.47279646,102.7171645,121.4873225,137.3002953,152.9916538,186.3253451,193.49061,200.7151454,218.2622734,212.1582342,232.5118778,248.985994,279.0335841,296.5889948,296.042355,320.9790264,270.1053419,288.2084304,279.296023,327.2755835,360.2819527,392.8970543,415.8677539,421.3514775,458.8204173,468.3949373,485.4410145,514.9379489,607.6992854,709.1485148,820.3815955,940.2598888,1216.735442,1198.895582,1341.886603,1675.615336,1823.049928,1827.637859,1856.722121,2039.127446,2103.587814,2294.797981,2651.472946,2702.929719,2831.552223,2667.687952,3173.397591
Australia,18.60678687,19.68305521,19.92272371,21.53992608,23.80109755,25.9771531,27.30988913,30.44461866,32.71698958,36.68607907,41.33721581,45.22230933,52.05140187,63.84497117,88.98157701,97.33306022,105.1014749,110.3877036,118.5359801,134.9414972,150.032312,176.9534425,194.1046011,177.3336453,193.5935519,180.5737516,182.3684947,189.4004764,236.0659197,299.7679342,311.3266641,325.9029903,325.4802738,312.1261945,322.8073331,367.9158004,401.0895296,435.3239944,399.4044631,389.0988846,415.5762105,379.0839326,395.3427166,467.3907979,614.166311,695.0751767,747.5561545,853.9554055,1055.127126,928.0429981,1147.589183,1397.907917,1546.508558,1576.335283,1467.50482,1350.534154,1206.685107,1326.882872,1428.529571,1391.95251,1327.836171,1542.6599
Brazil,17.03046554,17.27594045,19.23174785,23.28771288,20.96373369,22.46552288,28.28332373,31.08638919,33.93045743,37.17164082,42.32766479,48.8698309,58.43485837,83.59227586,109.7945197,129.2035552,153.1689492,176.3441014,200.2786461,221.3382045,237.3934899,258.0151747,271.3141138,189.6565063,188.3399741,176.1237193,215.8786318,237.5179844,258.8161256,347.0281396,390.725626,342.6092272,328.1879443,368.2957778,525.3698514,769.3333304,850.426433,883.2064528,863.7110073,599.642075,655.4481883,559.9837041,509.7952707,558.2337242,669.2893219,891.6338266,1107.626711,1397.114247,1695.855392,1666.996294,2208.838109,2616.156607,2465.228294,2472.819362,2456.043766,1802.212,1795.693266,2063.514689,1916.933708,1873.288159,1448.565937,1608.981221
